Month Created,Date Created,Time Created,Syncing Date,Latitude,Longitude,AnswerCode,RegionName,ProjectName,UserName,FormName,SpeciesName,WardLocation,GpsDeleted,ownerID,gender,age,primary work type,presentation reason,other presentation description,BCS,coat condition,demenour,hydration status,ecto status,diarrhoea status,cheek palp status,cheek palp description,lesion status,tx given,Lesion form,comments,lameness severity,health status,health issues,discharge_definition
Jun,01/06/2017,9:24 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617212443-86-12,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617212549-86-97,,,healthy,,
Jun,01/06/2017,9:26 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617212616-86-13,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617212654-86-98,,,healthy,,
Jun,01/06/2017,9:27 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617212718-86-14,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617212904-86-99,,,healthy,,
Jun,01/06/2017,9:29 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617212929-86-15,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617213006-86-100,,,healthy,,
Jun,01/06/2017,9:30 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213028-86-16,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617213150-86-101,,,healthy,,
Jun,01/06/2017,9:32 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213213-86-17,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:36 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213638-86-18,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:37 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213717-86-19,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,53,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:38 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213857-86-20,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:39 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617213946-86-21,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:40 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617214029-86-22,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),"D-010617214223-86-102,D-010617214244-86-103",,,healthy,,
Jun,01/06/2017,9:43 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617214306-86-23,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,2,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617214336-86-104,,,healthy,,
Jun,01/06/2017,9:44 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617214400-86-24,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,9:46 PM,03/06/2017 19:12,8.50920391,78.11793111,E-010617214635-86-25,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:10 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221027-86-26,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:11 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221129-86-27,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,mild,,no diarr,,,yes lesions,other(na),D-010617221244-86-105,,,healthy,,
Jun,01/06/2017,10:14 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221432-86-28,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:15 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221515-86-29,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,54,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:15 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221558-86-30,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,2,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:17 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221733-86-31,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,gelding,3y to 10y,pack,other,study,3,healthy,alert,mild,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:18 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221834-86-32,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:19 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617221941-86-33,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,gelding,6m to 3y,pack,other,study,3,unhealthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:21 PM,03/06/2017 19:12,8.51099046,78.11846232,E-010617222117-86-34,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617222150-86-106,,,healthy,,
Jun,01/06/2017,10:22 PM,03/06/2017 19:12,8.51116989,78.11885945,E-010617222211-86-35,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:23 PM,03/06/2017 19:12,8.51116989,78.11885945,E-010617222327-86-36,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617222558-86-107,,,healthy,,
Jun,01/06/2017,10:26 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617222623-86-37,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617222716-86-108,,,healthy,,
Jun,01/06/2017,10:27 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617222748-86-38,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,"tx,other",study,3,healthy,alert,mild,,no diarr,,,yes lesions,other(eye drops),D-010617223010-86-109,,,unhealthy,discharge,ocular
Jun,01/06/2017,10:32 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617223214-86-39,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,55,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:32 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617223256-86-40,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,yes diarr,,,yes lesions,other(na),"D-010617223106-86-110,D-010617225012-86-111",,,healthy,,
Jun,01/06/2017,10:50 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225030-86-41,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:50 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225056-86-42,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:51 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225131-86-43,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,"tx,other",study,3,unhealthy,alert,normal,absent,no diarr,,,yes lesions,"ivermec,other(ketoconazole wash)",,,,unhealthy,skin_dz,
Jun,01/06/2017,10:54 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225448-86-44,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,gelding,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),"D-010617225221-86-112,D-010617225557-86-113",,,healthy,,
Jun,01/06/2017,10:56 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225617-86-45,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,gelding,more than 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:57 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225719-86-46,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:57 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225744-86-47,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,2,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617225709-86-114,,,healthy,,
Jun,01/06/2017,10:58 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225838-86-48,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,10:59 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617225913-86-49,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,52,gelding,3y to 10y,pack,other,study,4,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617225953-86-115,,,healthy,,
Jun,01/06/2017,11:00 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617230016-86-50,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,11:05 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617230522-86-51,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,gelding,3y to 10y,pack,other,study,3,healthy,alert,mild,,no diarr,,,yes lesions,other(na),D-010617230551-86-116,,,healthy,,
Jun,01/06/2017,11:06 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617230619-86-52,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-010617230651-86-117,,,healthy,,
Jun,01/06/2017,11:07 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617230709-86-53,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,11:07 PM,03/06/2017 19:12,8.51117125,78.11888249,E-010617230740-86-54,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,51,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,01/06/2017,11:08 PM,03/06/2017 19:12,8.4084259,77.97363063,E-010617230811-86-55,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,3y to 10y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,"D-020617104454-86-118,D-020617104541-86-119",,,healthy,,
Jun,02/06/2017,10:46 AM,03/06/2017 19:12,8.40840327,77.97369242,E-020617104602-86-56,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,3y to 10y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,"D-020617104628-86-120,D-020617104646-86-121",,,healthy,,
Jun,02/06/2017,10:47 AM,03/06/2017 19:12,8.40840384,77.97368107,E-020617104716-86-57,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,6m to 3y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,"D-020617104735-86-122,D-020617104752-86-123",,,healthy,,
Jun,02/06/2017,10:48 AM,03/06/2017 19:12,8.40840409,77.97368182,E-020617104813-86-58,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,6m to 3y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,D-020617104920-86-124,,,healthy,,
Jun,02/06/2017,10:49 AM,03/06/2017 19:12,8.40841072,77.97368295,E-020617104949-86-59,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,3y to 10y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,D-020617104938-86-125,,,healthy,,
Jun,02/06/2017,10:50 AM,03/06/2017 19:12,8.40840913,77.97368315,E-020617105040-86-60,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,3y to 10y,other,worming,,3,healthy,alert,normal,,no diarr,,,yes lesions,ivermec,D-020617105034-86-126,,,healthy,,
Jun,02/06/2017,10:52 AM,03/06/2017 19:12,8.40840878,77.97367815,E-020617105226-86-61,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,less than 6m,other,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,02/06/2017,10:52 AM,03/06/2017 19:12,8.40840882,77.97367672,E-020617105248-86-62,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,stallion,less than 6m,other,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,02/06/2017,10:53 AM,03/06/2017 19:12,8.40840768,77.9736759,E-020617105317-86-63,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,stallion,less than 6m,pack,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,02/06/2017,10:53 AM,03/06/2017 19:12,8.40840831,77.97367755,E-020617105340-86-64,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,preg mare,6m to 3y,other,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,02/06/2017,10:54 AM,03/06/2017 19:12,8.40840636,77.97367681,E-020617105433-86-65,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,57,mare,3y to 10y,other,worming,,3,healthy,alert,normal,,no diarr,,,no,ivermec,,,,healthy,,
Jun,02/06/2017,10:55 AM,03/06/2017 19:12,8.62955139,77.91891657,E-020617105514-86-66,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,62,stallion,3y to 10y,pack,other,study,2,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617161051-86-127,,,healthy,,
Jun,02/06/2017,4:15 PM,03/06/2017 19:12,8.62960478,77.91883368,E-020617161510-86-67,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,62,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),"D-020617161944-86-129,D-020617162239-86-131",,mild,unhealthy,lame,
Jun,02/06/2017,4:20 PM,03/06/2017 19:12,8.62950827,77.91879944,E-020617162028-86-68,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,62,stallion,3y to 10y,pack,other,study,2,unhealthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617162108-86-130,,,healthy,,
Jun,02/06/2017,4:21 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617162150-86-69,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617223005-86-132,,,healthy,,
Jun,02/06/2017,10:30 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223029-86-70,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617223103-86-133,,,healthy,,
Jun,02/06/2017,10:31 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223121-86-71,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617223155-86-134,,,healthy,,
Jun,02/06/2017,10:32 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223227-86-72,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617223320-86-135,,,healthy,,
Jun,02/06/2017,10:33 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223340-86-73,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),"D-020617223439-86-136,D-020617223459-86-137",,,healthy,,
Jun,02/06/2017,10:35 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223524-86-74,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617223651-86-138,,,healthy,,
Jun,02/06/2017,10:39 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617223939-86-75,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617224344-86-139,,,healthy,,
Jun,02/06/2017,10:44 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617224445-86-76,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,2,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617224641-86-140,,,healthy,,
Jun,02/06/2017,10:47 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617224704-86-77,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617224831-86-141,,,healthy,,
Jun,02/06/2017,10:48 PM,03/06/2017 19:12,8.50412777,78.11790576,E-020617224859-86-78,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,61,stallion,6m to 3y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),"D-020617231217-86-142,D-020617231236-86-143",,,healthy,,
Jun,02/06/2017,11:12 PM,03/06/2017 19:12,8.51059528,78.11782944,E-020617231256-86-79,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,60,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,02/06/2017,11:39 PM,03/06/2017 19:12,8.51059528,78.11782944,E-020617233936-86-80,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,60,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,no,other(na),,,,healthy,,
Jun,02/06/2017,11:47 PM,03/06/2017 19:12,8.51059528,78.11782944,E-020617234724-86-81,Nilgiris,ITC Donkey Clinics,EmmaRayner,Equine assessment form 2,Donkey,tuticorin,No,62,stallion,3y to 10y,pack,other,study,3,healthy,alert,normal,,no diarr,,,yes lesions,other(na),D-020617235012-86-144,,,healthy,,
